# DASPi ChArUco observations
# board_squares_x=7
# board_squares_y=5
# square_length_m=0.040
# marker_length_m=0.020
# dictionary=DICT_4X4_50
session_id,pose_id,timestamp_ns,frame,module,facet,corner_id,x,y
calib_swapped_001,0,1782057035010337202,10,0,0,39,443.357,35.3916
calib_swapped_001,0,1782057035010337202,10,0,0,40,486.916,37.2474
calib_swapped_001,0,1782057035010337202,10,0,0,41,529.403,40.2226
calib_swapped_001,0,1782057035010337202,10,0,0,53,441.838,69.0961
calib_swapped_001,0,1782057035010337202,10,0,0,54,486.344,70.7391
calib_swapped_001,0,1782057035010337202,10,0,0,55,530.297,73.6087
calib_swapped_001,0,1782057035010337202,10,0,0,66,394.392,105.037
calib_swapped_001,0,1782057035010337202,10,0,0,67,440.837,105.162
calib_swapped_001,0,1782057035010337202,10,0,0,68,486.799,106.296
calib_swapped_001,0,1782057035010337202,10,0,0,69,531.19,108.435
calib_swapped_001,0,1782057035010337202,10,0,0,80,392.546,143.884
calib_swapped_001,0,1782057035010337202,10,0,0,81,440.007,143.898
calib_swapped_001,0,1782057035010337202,10,0,0,82,487.104,144.436
calib_swapped_001,0,1782057035010337202,10,0,0,83,532.972,146.133
calib_swapped_001,0,1782057035010337202,10,0,0,94,391.485,185.101
calib_swapped_001,0,1782057035010337202,10,0,0,95,439.735,184.205
calib_swapped_001,0,1782057035010337202,10,0,0,96,487.899,184.558
calib_swapped_001,0,1782057035010337202,10,0,0,97,535.018,185.348
calib_swapped_001,0,1782057035010337202,10,0,0,108,390.854,229.271
calib_swapped_001,0,1782057035010337202,10,0,0,109,440.669,227.794
calib_swapped_001,0,1782057035010337202,10,0,0,110,489.604,227.445
calib_swapped_001,0,1782057035010337202,10,0,0,111,537.963,227.701
calib_swapped_001,0,1782057035010337202,10,0,0,123,441.908,274.098
calib_swapped_001,0,1782057035010337202,10,0,0,124,492.06,272.822
calib_swapped_001,0,1782057035010337202,10,0,0,125,540.857,272.463
calib_swapped_001,0,1782057035010337202,10,0,0,137,444.013,322.609
calib_swapped_001,0,1782057035010337202,10,0,0,138,495.077,320.66
calib_swapped_001,0,1782057035010337202,10,0,0,139,544.968,319.248
calib_swapped_001,0,1782057035010337202,10,0,0,150,394.97,376.337
calib_swapped_001,0,1782057035010337202,10,0,0,151,446.978,373.516
calib_swapped_001,0,1782057035010337202,10,0,0,152,498.803,370.372
calib_swapped_001,0,1782057035010337202,10,0,0,164,398.152,430.497
calib_swapped_001,0,1782057035010337202,10,0,0,165,451.201,425.605
calib_swapped_001,0,1782057035010337202,10,0,0,166,503.364,422.206
calib_swapped_001,0,1782057035010337202,10,0,0,178,402.632,484.834
calib_swapped_001,0,1782057035010337202,10,0,0,179,455.998,479.887
calib_swapped_001,0,1782057035010337202,10,0,0,180,508.965,474.988
calib_swapped_001,0,1782057035010337202,10,0,0,181,560.108,470.786
calib_swapped_001,0,1782057035010337202,10,0,0,192,408.405,541.131
calib_swapped_001,0,1782057035010337202,10,0,0,193,462.316,534.672
calib_swapped_001,0,1782057035010337202,10,0,0,194,514.854,529.014
calib_swapped_001,0,1782057035010337202,10,0,0,195,566.635,523.199
calib_swapped_001,0,1782057035358924350,20,0,0,39,443.626,35.3454
calib_swapped_001,0,1782057035358924350,20,0,0,40,486.996,37.1878
calib_swapped_001,0,1782057035358924350,20,0,0,41,529.522,40.1545
calib_swapped_001,0,1782057035358924350,20,0,0,53,442.143,69.0089
calib_swapped_001,0,1782057035358924350,20,0,0,54,486.627,70.7696
calib_swapped_001,0,1782057035358924350,20,0,0,55,530.777,73.4262
calib_swapped_001,0,1782057035358924350,20,0,0,66,394.545,105.151
calib_swapped_001,0,1782057035358924350,20,0,0,67,441.016,105.211
calib_swapped_001,0,1782057035358924350,20,0,0,68,486.902,106.413
calib_swapped_001,0,1782057035358924350,20,0,0,69,531.311,108.512
calib_swapped_001,0,1782057035358924350,20,0,0,80,392.801,144.029
calib_swapped_001,0,1782057035358924350,20,0,0,81,440.174,143.981
calib_swapped_001,0,1782057035358924350,20,0,0,82,487.275,144.386
calib_swapped_001,0,1782057035358924350,20,0,0,83,533.178,146.235
calib_swapped_001,0,1782057035358924350,20,0,0,94,392.04,185.153
calib_swapped_001,0,1782057035358924350,20,0,0,95,439.998,184.184
calib_swapped_001,0,1782057035358924350,20,0,0,96,488.249,184.585
calib_swapped_001,0,1782057035358924350,20,0,0,108,391.163,229.385
calib_swapped_001,0,1782057035358924350,20,0,0,109,441.118,227.839
calib_swapped_001,0,1782057035358924350,20,0,0,110,490.042,227.601
calib_swapped_001,0,1782057035358924350,20,0,0,123,442.489,274.248
calib_swapped_001,0,1782057035358924350,20,0,0,124,492.484,272.904
calib_swapped_001,0,1782057035358924350,20,0,0,125,541.346,272.536
calib_swapped_001,0,1782057035358924350,20,0,0,137,444.563,322.643
calib_swapped_001,0,1782057035358924350,20,0,0,138,495.573,320.801
calib_swapped_001,0,1782057035358924350,20,0,0,139,545.22,319.402
calib_swapped_001,0,1782057035358924350,20,0,0,150,395.445,376.796
calib_swapped_001,0,1782057035358924350,20,0,0,151,447.553,373.526
calib_swapped_001,0,1782057035358924350,20,0,0,152,499.432,370.428
calib_swapped_001,0,1782057035358924350,20,0,0,164,398.86,430.761
calib_swapped_001,0,1782057035358924350,20,0,0,165,451.859,425.62
calib_swapped_001,0,1782057035358924350,20,0,0,166,503.821,422.139
calib_swapped_001,0,1782057035358924350,20,0,0,178,403.368,484.994
calib_swapped_001,0,1782057035358924350,20,0,0,179,456.866,480.039
calib_swapped_001,0,1782057035358924350,20,0,0,180,509.717,474.769
calib_swapped_001,0,1782057035358924350,20,0,0,181,560.741,470.724
calib_swapped_001,0,1782057035358924350,20,0,0,192,409.053,541.078
calib_swapped_001,0,1782057035358924350,20,0,0,193,463.031,534.699
