module,frame,facet,corners,rms_px,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z
0,10,0,166,126.248590,-1.858232,-0.544011,1.790808,-0.216796,-0.120258,0.776218
0,20,0,160,1098.221500,2.199127,-0.556961,-1.978165,-0.009480,0.246649,0.336656
0,30,0,150,119.140638,2.692616,0.720615,-2.452921,-0.212262,-0.126121,0.772340
0,40,0,161,1128.769882,-1.904124,1.015891,2.010130,0.126624,0.209847,0.338655
0,50,0,89,12.634887,-0.316491,0.077834,3.104345,-0.068480,0.026700,0.469947
0,70,0,61,1298.269643,-0.351038,-1.655485,0.596561,0.025150,-0.122647,-0.022996
0,80,0,61,1120.256696,-0.164873,-1.829799,0.958572,0.067689,-0.101119,-0.014122
0,90,0,62,1306.063170,-0.356728,-1.660363,0.359050,0.010724,-0.129905,-0.060158
0,100,0,66,1510.308008,-0.441344,-1.581077,0.122287,-0.018460,-0.131178,-0.095533
0,110,0,57,1172.959250,-0.487532,-1.633605,0.501319,0.002613,-0.156911,0.038881
0,120,0,61,1729.836691,-0.646588,-1.475368,-0.105207,-0.064054,-0.127508,-0.058085
0,130,0,64,1667.702826,-0.505498,-1.562043,0.256057,-0.017864,-0.133973,-0.031237
0,140,0,67,1639.542403,-0.366065,-1.642665,0.194011,-0.003634,-0.150987,-0.085375
0,150,0,56,12.623135,-0.083860,0.047333,1.601667,-0.161915,-0.330750,0.389177
0,160,0,40,7.896530,-0.074902,0.023710,1.697760,-0.155735,-0.336424,0.388742
0,690,0,73,79.257536,-1.988314,-0.614412,2.167312,-0.217516,0.073191,0.636127
0,700,0,87,56.773448,0.614372,-0.002439,3.047007,-0.065504,0.146929,0.352635
0,710,0,74,8.839117,0.148564,-0.214147,-3.106041,-0.068845,0.146484,0.365129
0,720,0,69,8.164585,0.190523,-0.222645,-3.107037,-0.068079,0.146234,0.365213
0,730,0,75,9.242837,0.160678,-0.218649,-3.102446,-0.071566,0.145097,0.367472
0,740,0,83,65.613445,-0.969535,0.591969,-2.557235,-0.141163,0.158802,0.488732
0,750,0,85,121.827051,-2.461115,0.581272,1.958880,-0.203298,0.088004,0.612711
0,760,0,87,303.071935,-2.463061,0.443218,1.830818,-0.088309,0.115235,0.346784
0,770,0,70,221.778858,-0.989814,-2.272096,1.471916,-0.396089,-0.352736,1.149673
0,1240,0,51,3.714333,0.024789,-0.037620,-3.088973,-0.031064,0.028621,0.379053
0,1250,0,56,3.735254,0.049308,-0.067334,-3.088519,-0.031723,0.042946,0.371987
0,1260,0,57,87.647020,-0.103356,1.149063,-2.514883,-0.116245,-0.044249,0.627637
0,1270,0,64,91.794701,0.046907,1.293858,-2.325601,-0.140670,-0.061690,0.625060
0,1280,0,72,117.912770,0.221593,1.565022,-2.109500,-0.158708,-0.123807,0.642786
0,1290,0,77,120.363895,0.403399,1.640461,-2.214134,-0.155834,-0.143460,0.668841
0,1300,0,80,284.235133,-2.844198,-0.178737,1.782068,-0.174630,0.051120,0.330887
0,1310,0,73,84.750633,0.129972,1.253094,-2.542311,-0.114624,-0.054416,0.645192
0,1320,0,60,87.387220,0.068972,1.281232,-2.397627,-0.127480,-0.050563,0.621920
0,1330,0,56,143.665525,0.112828,-0.375368,-2.771046,-0.147112,-0.066446,0.515410
0,1340,0,48,2.614511,0.067583,-0.106400,-3.099971,0.008141,0.049753,0.373858
0,1350,0,64,3.024592,-0.093386,0.084832,3.145707,0.061329,0.032345,0.386862
0,1360,0,83,89.808444,0.212267,-0.604415,-2.931300,0.043798,0.019521,0.314417
0,1370,0,86,104.569584,0.236548,-0.572998,-2.881146,0.024790,0.000374,0.356398
0,1380,0,87,110.490395,0.227987,-0.517025,-2.867535,0.012736,-0.001730,0.373295
0,1390,0,87,110.296597,0.110719,-0.390613,-2.899665,0.006935,-0.012603,0.419279
0,1400,0,80,3.805156,-0.102249,0.087321,3.128452,0.067350,0.038995,0.384206
0,1410,0,104,128.420884,0.052281,-0.356542,-2.898996,-0.022109,-0.032008,0.452791
0,1420,0,90,7.989475,-0.147248,-0.033705,3.149839,0.020265,0.044385,0.435408
0,1430,0,97,95.573912,-0.070659,1.597123,-2.132214,-0.106807,-0.128424,0.816521
0,1440,0,78,90.874573,-0.706811,0.945798,2.999899,-0.108236,-0.198324,0.763579
0,1450,0,70,7.923246,-0.255590,0.090170,3.150303,-0.042369,0.116473,0.452191
0,1460,0,84,125.652108,-0.589023,1.207943,-2.127353,-0.159922,0.051092,0.642676
0,1470,0,87,121.105083,-0.519287,1.215363,-2.152891,-0.174276,0.062716,0.647312
0,1480,0,91,113.966136,-0.416317,1.190986,-2.267091,-0.172133,0.086747,0.649647
0,1490,0,85,57.945720,-0.423722,0.796263,-2.732420,-0.124733,0.144553,0.578573
0,1500,0,80,9.749321,-0.387858,0.364164,2.981826,-0.044350,0.118574,0.420596
0,1510,0,77,9.614035,-0.323335,0.311952,2.983753,-0.048511,0.138985,0.411230
0,1520,0,76,8.270636,-0.414258,0.330611,2.929673,-0.050658,0.134933,0.432608
0,1530,0,84,80.039841,-0.367089,0.842198,-2.726867,-0.131248,0.161486,0.564242
0,1540,0,76,84.151226,-0.403647,0.834774,-2.685596,-0.128550,0.167489,0.546231
0,1550,0,77,10.071023,-0.351487,0.326795,2.989305,-0.048446,0.148420,0.422313
0,1560,0,75,8.626769,-0.416231,0.338670,2.960872,-0.045172,0.142420,0.421398
0,1570,0,80,9.690178,-0.322989,0.296642,3.001890,-0.042705,0.145083,0.420390
0,1580,0,85,78.676270,-0.341039,0.771361,-2.796504,-0.121204,0.154027,0.571112
0,1590,0,91,78.448067,-0.242924,0.717555,-2.885599,-0.107051,0.147150,0.575727
0,1600,0,90,10.978982,-0.563513,0.270934,2.942534,-0.028690,0.132117,0.461085
0,1610,0,92,77.018768,-0.270724,0.784110,-2.834830,-0.104675,0.147185,0.582173
0,1620,0,100,12.158878,-0.454817,0.260743,2.974583,-0.028660,0.133169,0.453036
0,1630,0,86,12.079611,-0.525457,0.258514,2.971156,-0.029653,0.136405,0.458377
0,1640,0,93,93.161121,-0.296283,0.931988,-2.659469,-0.133630,0.133144,0.615593
